Brand_Partner,Offer_Detail,Platform,Redemption_Type
Top Cut Hairdressing,15% Student Discount,Student Beans,online at Top Cut Hairdressing
Skip the Filter,10% Student Discount,Student Beans,online at Skip the Filter
Perfect My Beauty,10% Student Discount,Student Beans,online at Perfect My Beauty
Welton Aesthetics Clinic,Exclusive Student Discount,Student Beans,online at Welton Aesthetics Clinic
Pebble Health and Beauty,25% Student Discount,Student Beans,online at Pebble Health and Beauty
Scruples of Wendover,10% Student Discount,Student Beans,online at Scruples of Wendover
Salon Express,20% Student Discount,Student Beans,online at Salon Express
St Salon,10% Student Discount,Student Beans,online at St Salon
Nelle's Beauty Box,10% Student Discount,Student Beans,online at Nelle's Beauty Box
Nashwhite™,10% Student Discount,Student Beans,online at Nashwhite™
Colman and Colman Hair,10% Student Discount,Student Beans,online at Colman and Colman Hair
Salon Sin,10% Student Discount,Student Beans,online at Salon Sin
No.45 Hairdressing,10% Student Discount,Student Beans,online at No.45 Hairdressing
SALON 2000,15% Student Discount,Student Beans,online at SALON 2000
St.Tropez Tanning Studio,15% Student Discount,Student Beans,online at St.Tropez Tanning Studio
Glow Tanning & Beauty Salon,10% Student Discount,Student Beans,online at Glow Tanning & Beauty Salon
Oxygen Hair & Beauty,10% Student Discount,Student Beans,online at Oxygen Hair & Beauty
Maryam Hair and Beauty,40% Student Discount,Student Beans,online at Maryam Hair and Beauty
Salon Fresh,10% Student Discount,Student Beans,online at Salon Fresh
Bobbio Hair Salon,10% Student Discount,Student Beans,online at Bobbio Hair Salon
Brand_Partner,Offer_Detail,Platform,Redemption_Type
PrettyLittleThing,Up to 30% off almost everything + Extra 12% Student Discount,Student Beans,online at PrettyLittleThing
Boots,10% Student Discount with Boots Advantage Card,Student Beans,online at Boots
SHEIN,15% Student Discount,Student Beans,online at SHEIN
LOOKFANTASTIC,20% Student Discount,Student Beans,online at LOOKFANTASTIC
Superdrug,10% Student discount,Student Beans,instore at Superdrug
CultBeauty,20% Student Discount,Student Beans,online at CultBeauty
LullaBellz,25% off Full Priced Synthetics,Student Beans,online at LullaBellz
e.l.f.Cosmetics,15% Student Discount,Student Beans,online at e.l.f.Cosmetics
OliverBonas,10% Student Discount,Student Beans,online at OliverBonas
CharlotteTilbury,15% Student Discount,Student Beans,online at CharlotteTilbury
